"playerId","playerFirstName","playerLastName","playerName","playerPositionCode","teamAbbrev","location","timeOnIcePerGame","gamesPlayed","shiftsPerGame","shots","shootingPctg","assists","goals","points","plusMinus","penaltyMinutes","ppGoals","ppPoints","shGoals","shPoints"
8476772,"Brian","O'Neill","Brian O'Neill","R","NJD","home",606.7272,11,15.0909,5,0,0,0,0,-2,4,0,0,0,0
8475223,"Linden","Vey","Linden Vey","R","VAN","home",819.2857,7,20,5,0,2,0,2,-1,0,0,1,0,0
8476279,"Jyrki","Jokipakka","Jyrki Jokipakka","D","DAL","home",909.5,18,20.9444,13,0.0769,2,1,3,1,4,0,0,0,0
8473468,"Eric","Gryba","Eric Gryba","D","EDM","home",1074.5454,22,23.8181,27,0,1,0,1,1,23,0,0,0,0
8475176,"Ryan","Ellis","Ryan Ellis","D","NSH","home",1189.5909,22,24.5454,47,0.0851,9,4,13,6,10,1,4,0,0
8475321,"Philip","Varone","Philip Varone","C","BUF","home",437.5,2,11.5,1,1,0,1,1,0,2,0,0,0,0
8476191,"Kevan","Miller","Kevan Miller","D","BOS","home",1154.2727,22,24.7272,19,0.0526,5,1,6,-9,16,0,0,0,0
8474618,"Marco","Scandella","Marco Scandella","D","MIN","home",1239.5789,19,26.6842,40,0.1,4,4,8,4,2,2,3,0,0
8477493,"Aleksander","Barkov","Aleksander Barkov","C","FLA","home",1187.5789,19,23.2105,50,0.18,9,9,18,6,2,4,6,0,0
8470595,"Eric","Staal","Eric Staal","C","CAR","home",1182.36,25,24.52,62,0.0645,13,4,17,2,16,1,4,0,0
8476958,"Jaccob","Slavin","Jaccob Slavin","D","CAR","home",1117.4,15,23.3333,21,0,2,0,2,-2,0,0,2,0,0
8474685,"Matt","Calvert","Matt Calvert","L","CBJ","home",903,17,19.7647,28,0.0714,1,2,3,-3,12,0,0,0,0
8470358,"Alexandre","Burrows","Alexandre Burrows","R","VAN","home",932,20,22.3,30,0.0333,4,1,5,-4,12,1,3,0,0
8474096,"Nick","Spaling","Nick Spaling","C","TOR","home",890.3333,12,21.75,8,0,3,0,3,-1,2,0,0,0,0
8476292,"Ondrej","Palat","Ondrej Palat","L","TBL","home",1009.3333,12,19.5833,19,0.0526,4,1,5,-3,2,0,2,0,0
8471303,"Alexander","Edler","Alexander Edler","D","VAN","home",1478.1,20,30.1,41,0.0487,7,2,9,-8,20,1,5,0,0
8470110,"Trevor","Daley","Trevor Daley","D","CHI","home",813.3333,15,18.4,23,0,3,0,3,3,6,0,1,0,0
8470612,"Ryan","Getzlaf","Ryan Getzlaf","C","ANA","home",1108,24,22.75,44,0.0227,18,1,19,3,17,1,7,0,0
8471214,"Alex","Ovechkin","Alex Ovechkin","L","WSH","home",1246.4761,21,22.3333,109,0.1559,6,17,23,13,14,8,10,0,0
8476472,"Oscar","Klefbom","Oscar Klefbom","D","EDM","home",1314.0666,15,26.9333,26,0.0769,3,2,5,3,2,0,2,0,0
8471490,"Adam","Cracknell","Adam Cracknell","R","VAN","home",704.0625,16,17.0625,17,0,3,0,3,2,2,0,0,0,0
8468083,"Henrik","Zetterberg","Henrik Zetterberg","L","DET","home",1146.9615,26,23.8461,69,0.0579,13,4,17,1,8,2,8,0,0
8473722,"John","Scott","John Scott","L","ARI","home",372.3333,3,10.3333,2,0,1,0,1,0,7,0,0,0,0
8474581,"Jake","Gardiner","Jake Gardiner","D","TOR","home",1181.1904,21,26.619,33,0,4,0,4,-7,10,0,2,0,0
8476352,"Michael","Mersch","Michael Mersch","L","LAK","home",534.2,5,13.4,7,0,1,0,1,1,0,0,0,0,0
8467452,"Rob","Scuderi","Rob Scuderi","D","PIT","home",1043.6666,12,24,6,0,2,0,2,-1,2,0,0,0,0
8477501,"Valeri","Nichushkin","Valeri Nichushkin","R","DAL","home",837.4782,23,19.0434,42,0.0238,3,1,4,3,6,0,0,0,0
8470378,"Andre","Benoit","Andre Benoit","D","STL","home",646,1,17,0,0,0,0,0,0,0,0,0,0,0
8471976,"David","Desharnais","David Desharnais","C","MTL","home",973.7826,23,22.5217,37,0.1621,7,6,13,3,8,2,3,0,0
8475178,"Zack","Kassian","Zack Kassian","R","EDM","home",855,2,18.5,3,0,0,0,0,0,14,0,0,0,0
8473970,"Rob","Klinkhammer","Rob Klinkhammer","L","EDM","home",584.1428,7,13.1428,6,0.1666,0,1,1,-4,2,0,0,0,0
8471231,"Kyle","Chipchura","Kyle Chipchura","C","ARI","home",646.24,25,15.64,20,0.1,4,2,6,-4,9,0,1,0,0
8467452,"Rob","Scuderi","Rob Scuderi","D","CHI","home",715,6,15.6666,7,0,0,0,0,-2,0,0,0,0,0
8476981,"Josh","Anderson","Josh Anderson","R","CBJ","home",628.3333,6,14.1666,5,0.2,2,1,3,1,2,0,0,0,0
8473588,"Erik","Condra","Erik Condra","R","TBL","home",675.2352,17,15.9411,12,0,1,0,1,-3,12,0,0,0,0
8470180,"Eric","Nystrom","Eric Nystrom","L","NSH","home",683.1111,18,16.8888,12,0.25,0,3,3,-4,2,0,0,1,1
8474151,"Ryan","McDonagh","Ryan McDonagh","D","NYR","home",1362.4166,24,28.2916,42,0.0952,10,4,14,11,2,2,5,0,0
8475157,"Landon","Ferraro","Landon Ferraro","C","DET","home",715.25,4,17.5,7,0,0,0,0,-1,2,0,0,0,0
8470598,"Thomas","Vanek","Thomas Vanek","L","MIN","home",978.75,24,19.375,51,0.1764,11,9,20,1,10,4,8,0,0
8473914,"Mark","Letestu","Mark Letestu","C","EDM","home",965.2083,24,23.5,35,0.1428,4,5,9,-4,0,1,4,1,1
8478561,"Andreas","Martinsen","Andreas Martinsen","L","COL","home",693.1764,17,16,20,0,4,0,4,-2,12,0,0,0,0
8474027,"Justin","Braun","Justin Braun","D","SJS","home",1254.25,20,26.2,34,0,7,0,7,4,8,0,1,0,0
8470606,"Dustin","Brown","Dustin Brown","R","LAK","home",972.8333,24,21.7083,61,0.0163,6,1,7,-4,10,0,1,0,0
8476431,"Adam","Clendening","Adam Clendening","D","PIT","home",769,8,18,11,0,1,0,1,3,10,0,0,0,0
8471371,"Mike","Brown","Mike Brown","R","SJS","home",451.5789,19,11.7368,17,0,1,0,1,-2,13,0,0,0,0
8467351,"Scott","Gomez","Scott Gomez","C","STL","home",715.3,10,16.2,4,0.25,1,1,2,-3,2,0,0,0,0
8469623,"Marek","Zidlicky","Marek Zidlicky","D","NYI","home",945.8695,23,19.4347,20,0.15,5,3,8,6,4,0,2,0,0
8477467,"Gustav","Olofsson","Gustav Olofsson","D","MIN","home",462,1,11,0,0,0,0,0,0,0,0,0,0,0
8477213,"Tim","Schaller","Tim Schaller","C","BUF","home",536.8571,7,14.8571,6,0.1666,1,1,2,1,0,0,0,1,1
8477447,"Shea","Theodore","Shea Theodore","D","ANA","home",1201.875,8,23.875,16,0.0625,3,1,4,3,0,1,1,0,0
8471703,"Steve","Downie","Steve Downie","R","ARI","home",471.4545,11,12.4545,9,0.1111,1,1,2,0,20,0,0,0,0
8474031,"Kevin","Shattenkirk","Kevin Shattenkirk","D","STL","home",1327.2272,22,27.1818,61,0.0983,13,6,19,1,18,3,10,0,1
8476960,"Andreas","Athanasiou","Andreas Athanasiou","C","DET","home",503.75,4,13,7,0.1428,0,1,1,0,0,0,0,0,0
8476459,"Mika","Zibanejad","Mika Zibanejad","C","OTT","home",1073.4545,22,23.4545,46,0.1086,10,5,15,9,6,0,3,1,1
8475208,"Brian","Dumoulin","Brian Dumoulin","D","PIT","home",1115.875,24,26.625,26,0,3,0,3,5,6,0,0,0,0
8470834,"Dustin","Byfuglien","Dustin Byfuglien","D","WPG","home",1456.5652,23,26.4347,65,0.1076,5,7,12,7,20,2,3,0,0
8462038,"Shane","Doan","Shane Doan","R","ARI","home",1075.5714,21,22,53,0.2264,9,12,21,5,28,5,7,0,0
8478541,"Markus","Hannikainen","Markus Hannikainen","L","CBJ","home",446.6666,3,12.3333,3,0,0,0,0,-2,0,0,0,0,0
8475761,"Beau","Bennett","Beau Bennett","R","PIT","home",770.5833,12,18.25,17,0.1176,2,2,4,-5,2,1,1,0,0
8478466,"Daniel","Sprong","Daniel Sprong","R","PIT","home",513.3333,9,11.4444,12,0.0833,0,1,1,1,0,0,0,0,0
8477010,"Joseph","Blandisi","Joseph Blandisi","C","NJD","home",859.6666,3,20,6,0.1666,2,1,3,0,2,1,1,0,0
8473512,"Claude","Giroux","Claude Giroux","C","PHI","home",1220,22,27.4545,66,0.0757,11,5,16,0,10,1,6,1,2
8468509,"Niklas","Kronwall","Niklas Kronwall","D","DET","home",1361.9583,24,29.2916,21,0.1428,8,3,11,-2,6,0,5,0,0
8478366,"Frank","Vatrano","Frank Vatrano","C","BOS","home",693.3125,16,16.5,36,0,0,0,0,-4,4,0,0,0,0
8476884,"Derrick","Pouliot","Derrick Pouliot","D","PIT","home",718,1,17,1,0,0,0,0,0,0,0,0,0,0
8476336,"Iiro","Pakarinen","Iiro Pakarinen","R","EDM","home",533.6111,18,14.1111,17,0,2,0,2,-4,2,0,1,0,0
8475832,"Tom","Kuhnhackl","Tom Kuhnhackl","R","PIT","home",747.6666,3,19.3333,3,0,1,0,1,1,0,0,0,0,0
8475179,"Dmitry","Kulikov","Dmitry Kulikov","D","FLA","home",1311.421,19,25.2105,35,0,5,0,5,6,14,0,2,0,0
8474717,"Mark","Barberio","Mark Barberio","D","MTL","home",832,4,19.25,6,0.1666,0,1,1,0,0,0,0,0,0
8476289,"Alexey","Marchenko","Alexey Marchenko","D","DET","home",927.5454,22,22.6363,12,0,3,0,3,-2,2,0,0,0,0
8477453,"Chris","Bigras","Chris Bigras","D","COL","home",890.3333,3,18.6666,1,0,0,0,0,1,4,0,0,0,0
8476453,"Nikita","Kucherov","Nikita Kucherov","R","TBL","home",1115.875,24,21.125,61,0.1803,13,11,24,-1,10,5,14,0,0
8472410,"Stephen","Gionta","Stephen Gionta","C","NJD","home",737.375,24,17.0416,22,0,5,0,5,-3,8,0,0,0,0
8470257,"Alexander","Steen","Alexander Steen","L","STL","home",1266.1481,27,29.2962,66,0.106,18,7,25,7,10,1,10,1,1
8475736,"Connor","Brickley","Connor Brickley","C","FLA","home",482.0909,11,11.0909,5,0,1,0,1,0,4,0,0,0,0
8471677,"Jack","Johnson","Jack Johnson","D","CBJ","home",1506.409,22,28.2727,38,0.1052,4,4,8,-14,9,3,5,0,0
8476312,"Josh","Manson","Josh Manson","D","ANA","home",1114.6086,23,23.7826,29,0.0344,2,1,3,2,28,0,0,0,0
8477497,"Sean","Monahan","Sean Monahan","C","CGY","home",1169.3478,23,26.8695,63,0.1111,12,7,19,8,6,1,4,0,0
8474727,"Ben","Smith","Ben Smith","R","SJS","home",476,1,12,0,0,0,0,0,0,0,0,0,0,0
8474602,"Justin","Schultz","Justin Schultz","D","EDM","home",1165.0555,18,24.8333,24,0.0833,3,2,5,-5,0,0,2,0,0
8476043,"Ben","Street","Ben Street","C","COL","home",380.5,2,12,4,0,0,0,0,-1,2,0,0,0,0
8474567,"Zach","Bogosian","Zach Bogosian","D","BUF","home",1337.375,16,26.5,20,0,3,0,3,-7,4,0,1,0,0
8471693,"Jakub","Kindl","Jakub Kindl","D","DET","home",1019,12,23.25,13,0.0769,3,1,4,2,8,0,0,0,0
8474098,"Colton","Sceviour","Colton Sceviour","C","DAL","home",760.5,22,19,30,0.0666,1,2,3,1,10,0,0,0,0
8465058,"Michal","Rozsival","Michal Rozsival","D","CHI","home",945.75,12,20.5,9,0,1,0,1,0,6,0,0,0,0
8475206,"Stefan","Elliott","Stefan Elliott","D","ARI","home",805.875,8,18.75,14,0.0714,1,1,2,-1,4,0,0,0,0
8470803,"Kyle","Brodziak","Kyle Brodziak","C","STL","home",661.4166,24,16.875,16,0.0625,0,1,1,-4,21,0,0,0,0
8476419,"Jean-Gabriel","Pageau","Jean-Gabriel Pageau","C","OTT","home",929.4347,23,21.4347,41,0.0975,2,4,6,-3,0,0,0,2,2
8470871,"Chris","Porter","Chris Porter","L","MIN","home",580.1363,22,14.3181,22,0.0909,2,2,4,-1,0,0,0,0,0
