Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Riverside Golf Course,78741,5/8/2018,95,"1020 GROVE BLVD
AUSTIN, TX 78741
(30.236146327582727, -97.70482409277524)",11621131,Routine Inspection
"Honey Baked Ham Company LLC, The",78758,6/8/2017,96,"9029 RESEARCH BLVD
AUSTIN, TX 78758
(30.373254870396227, -97.72429605846118)",11496272,Routine Inspection
Common Interest,78757,9/26/2017,88,"8440 BURNET RD
AUSTIN, TX 78757
(30.36658318120088, -97.72870848480298)",2800143,Routine Inspection
Ranch 616,78701,10/28/2016,79,"616 NUECES ST
AUSTIN, TX 78701
(30.270450765862858, -97.74830805246421)",2801490,Routine Inspection
Austin Oaks Hospital,78745,5/4/2018,100,"1407 W STASSNEY LN
AUSTIN, TX 78745
(30.211641166610907, -97.79176565232433)",10929524,Routine Inspection
7-Eleven Convenience Store #36618A,78752,3/13/2017,95,"7114 N IH
AUSTIN, TX 78752
(30.332786244856077, -97.70500601330983)",11087892,Routine Inspection
Costco #681 Retail,78759,3/28/2016,95,"10401 RESEARCH BLVD
AUSTIN, TX 78759
(30.396227477255355, -97.74533155899795)",2803772,Routine Inspection
MN - Carnicerias Lafogata,78653,7/5/2016,91,"216 E PARSONS ST
MANOR, TX 78653
(30.34074439931586, -97.55753414408179)",11051473,Routine Inspection
Vargas Food Store,78741,2/19/2016,91,"809 VARGAS RD
AUSTIN, TX 78741
(30.23389797660036, -97.69351842601957)",2804078,Routine Inspection
Whitney's Magical Treats,78750,11/2/2017,100,"13776 N US 183 HWY
AUSTIN, TX 78750
(30.462188307760552, -97.79721393938739)",11509518,Routine Inspection
Turner-Roberts Recreation Center,78724,7/13/2018,96,"7201 COLONY LOOP DR
AUSTIN, TX 78724
(30.300398898539, -97.63603689482555)",10184483,Routine Inspection
Papadom,78701,10/13/2017,75,"310 COLORADO ST
AUSTIN, TX 78701
(30.26612283051142, -97.74517280109613)",11639502,Routine Inspection
2222 Market,78756,5/2/2016,87,"1112 W KOENIG LN
AUSTIN, TX 78756
(30.329943999869958, -97.72903574950422)",11211426,Routine Inspection
Doubletree Austin,78752,12/10/2015,94,"6505 N IH
AUSTIN, TX 78752
(30.32638680921163, -97.70486347710225)",11300187,Routine Inspection
"Kolache Factory, INC",78727,6/4/2018,88,"4101 W PARMER LN
AUSTIN, TX 78727
(30.425469772990272, -97.71685998186952)",11575122,Routine Inspection
Pioneer Crossing Cafeteria,78754,12/13/2016,98,"11300 SAMSUNG BLVD
AUSTIN, TX 78754
(30.36133557778109, -97.64016666963958)",10307208,Routine Inspection
Dream Dinners,78750,3/25/2016,97,"12129 N FM 620 RD
AUSTIN, TX 78750
(30.46098431447832, -97.81693599575108)",10102975,Routine Inspection
Starstop 50,78741,12/4/2017,95,"6310 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.212980381718715, -97.7113927378407)",10871614,Routine Inspection
Barley Swine,78757,1/2/2018,90,"6555 BURNET RD
AUSTIN, TX 78757
(30.341442357215104, -97.73821597743826)",11462795,Routine Inspection
ABIA Ray Benson's Roadhouse Bar,78719,9/2/2016,91,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202014198206186, -97.66688417330988)",2801508,Routine Inspection
Barnes and Nobles Booksellers,78613,4/14/2017,95,"14010 N US 183 HWY
AUSTIN, TX 78613
(30.473719104597297, -97.80132552080768)",2801399,Routine Inspection
La Cabana Grill,78738,6/18/2018,85,"21103 W SH
AUSTIN, TX 78738
(30.352080238175088, -98.06419742655815)",10222706,Routine Inspection
Black Star Co-Op Pub and Brewery,78752,2/4/2016,75,"7020 EASY WIND DR
AUSTIN, TX 78752
(30.33851732577908, -97.71876104110537)",10474096,Routine Inspection
JR's Tacos,78758,6/15/2016,85,"1921 CEDAR BEND DR
AUSTIN, TX 78758
(30.40832232426702, -97.69824332279956)",10964220,Routine Inspection
SpringHill Suites,78744,4/24/2017,93,"4501 S IH
AUSTIN, TX 78744
(30.21022197110488, -97.75382220488721)",2801511,Routine Inspection
Donut Empire,78753,9/11/2017,91,"1033 E HOWARD LN
AUSTIN, TX 78753
(30.40891230703421, -97.64809249549137)",11504562,Routine Inspection
Tomgro Grocery,78741,2/15/2017,81,"1313 MONTOPOLIS DR
AUSTIN, TX 78741
(30.230131547189686, -97.69969086823693)",2803758,Routine Inspection
Chosun Galbi Korean BBQ & Grill,78752,1/27/2016,85,"713 E HUNTLAND DR
AUSTIN, TX 78752
(30.329817734516826, -97.70653284215999)",10664808,Routine Inspection
Joe's Bakery,78702,4/19/2018,96,"2305 E 7TH ST
AUSTIN, TX 78702
(30.261079309234578, -97.71668737706912)",2800556,Routine Inspection
WL - Lupe Tortillas Mexican Restaurant,78746,1/17/2017,95,"701 S CAPITAL OF TEXAS HWY
WEST LAKE HILLS, TX 78746
(30.292995279949633, -97.82733249251322)",10805455,Routine Inspection
WL - P. Terry's Burger Stand,78746,8/2/2017,99,"701 S CAPITAL OF TEXAS HWY
WEST LAKE HILLS, TX 78746
(30.292995279949633, -97.82733249251322)",10771894,Routine Inspection
Kerbey Lane Cafe,78749,7/14/2016,87,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.22138854436619, -97.83965356712693)",10449800,Routine Inspection
BC - Mandolas Italian Market,78738,12/27/2017,87,"12815 SHOPS PKWY
BEE CAVE, TX 78738
(30.305264616471593, -97.94245603727872)",10338098,Routine Inspection
Round Rock ISD Stadium Complex,78717,3/30/2016,90,"10211 W PARMER LN
AUSTIN, TX 78717
(30.49249341940165, -97.77410722437875)",2801830,Routine Inspection
"Children's Courtyard, The",78749,6/14/2016,100,"5914 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.228857685011963, -97.8618904492446)",2801782,Routine Inspection
Opera Cafe,78747,6/19/2018,100,"11215 S IH
AUSTIN, TX 78747
(30.137769613340634, -97.79590052375228)",11172513,Routine Inspection
Plush,78701,2/2/2017,87,"617 RED RIVER ST
AUSTIN, TX 78701
(30.267264346332414, -97.73674141808414)",2801758,Routine Inspection
City Star Food,78702,2/26/2016,87,"31 N IH
AUSTIN, TX 78702
(30.254070738583547, -97.73613807445352)",2803861,Routine Inspection
La Quinta Inn #177,78735,5/11/2017,96,"4424 S MOPAC EXPY
AUSTIN, TX 78735
(30.2408193716479, -97.81738341285326)",2803207,Routine Inspection
Sushi Niichi,78705,7/9/2018,92,"705 W 24TH ST
AUSTIN, TX 78705
(30.287744491526155, -97.74556150323691)",10015230,Routine Inspection
Bufalina Due LLC,78757,9/14/2016,94,"6555 BURNET RD
AUSTIN, TX 78757
(30.341442357215104, -97.73821597743826)",11460194,Routine Inspection
A Shady Deal,78653,6/9/2017,79,"14219 LITTIG RD
AUSTIN, TX 78653
(30.33288073562587, -97.50917172320645)",10008007,Routine Inspection
